"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000267056.2","ENSG00000267056.2",-0.741791660923275,0.476259854485002,0.00125720882573215,"154","243","2.09969408629106",0.592212656529517,0.0313232336670372,"ENSG00000267056","LOC729654","inositol polyphosphate multikinase pseudogene"
"ENSG00000110958.16","ENSG00000110958.16",3.21594146644963,24.9267485650787,0.00183689299840871,"396","1","0.0401175467144943",0.509168157423971,0.0090642554454314,"ENSG00000110958","PTGES3","prostaglandin E synthase 3"
"ENSG00000171401.15","ENSG00000171401.15",-0.754802217937423,0.470103583592836,0.00730087090334473,"44","353","2.12719076157078",0.543045617173524,0.023502773911487,"ENSG00000171401","KRT13","keratin 13"
"ENSG00000137161.17","ENSG00000137161.17",-0.887808435988564,0.411556718022089,0.00487173088497752,"32","365","2.42979875241965",0.549418604651163,0.0244922336860974,"ENSG00000137161","CNPY3","canopy FGF signaling regulator 3"
"ENSG00000130202.10","ENSG00000130202.10",-0.913755904735218,0.401015217011798,0.0490814608199026,"15","382","2.49367095705643",0.526526162790698,0.0167954680340452,"ENSG00000130202","NECTIN2","nectin cell adhesion molecule 2"
"ENSG00000170017.12","ENSG00000170017.12",0.849575355097014,2.33865354373209,0.00533789918527848,"362","35","0.427596470062928",0.532899150268336,0.0204512793010191,"ENSG00000170017","ALCAM","activated leukocyte cell adhesion molecule"
"ENSG00000177674.16","ENSG00000177674.16",-0.804694898000621,0.447224354790853,0.000963385038236303,"78","319","2.23601418233955",0.598250223613596,0.0306263160594111,"ENSG00000177674","AGTRAP","angiotensin II receptor associated protein"
"ENSG00000170027.7","ENSG00000170027.7",2.67182659563729,14.4663692813362,0.00879740187488611,"396","1","0.0691258449547637",0.508133944543828,0.00805974839238373,"ENSG00000170027","YWHAG","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma"
"ENSG00000065518.8","ENSG00000065518.8",0.762101322297413,2.14277415214393,0.00293003479907123,"336","61","0.466684740899762",0.546763193202147,0.0256174322830332,"ENSG00000065518","NDUFB4","NADH:ubiquinone oxidoreductase subunit B4"
"ENSG00000067560.13","ENSG00000067560.13",0.792700934241949,2.20935569929174,0.0461040505195814,"377","20","0.452620644254149",0.522053890876565,0.0172012800502986,"ENSG00000067560","RHOA","ras homolog family member A"
"ENSG00000011347.10","ENSG00000011347.10",-0.536173858549648,0.584982200593161,0.0238835617147936,"215","182","1.70945372181584",0.565770348837209,0.0312042123048768,"ENSG00000011347","SYT7","synaptotagmin 7"
"ENSG00000168528.12","ENSG00000168528.12",-1.26761465875749,0.28150230060894,0.00703062376375293,"13","384","3.5523688361936",0.524457737030411,0.0154316990930191,"ENSG00000168528","SERINC2","serine incorporator 2"
"ENSG00000182809.11","ENSG00000182809.11",1.09159870727608,2.9790328691117,0.0001030331121935,"165","232","0.335679411385005",0.625055903398927,0.0263180203947412,"ENSG00000182809","CRIP2","cysteine rich protein 2"
"ENSG00000112308.13","ENSG00000112308.13",0.518681077338961,1.6798106476637,0.0277766096331215,"274","123","0.595305191921966",0.586901833631485,0.0315233642268198,"ENSG00000112308","C6orf62","chromosome 6 open reading frame 62"
"ENSG00000167183.3","ENSG00000167183.3",-0.58257587703424,0.558457993130307,0.0279793113737013,"69","328","1.79064497652676",0.549027280858676,0.027278425711849,"ENSG00000167183","PRR15L","proline rich 15 like"
"ENSG00000169116.11","ENSG00000169116.11",-0.69311623080266,0.500015475118117,0.00781388041291178,"62","335","1.99993810144331",0.564931797853309,0.027446385584989,"ENSG00000169116","PARM1","prostate androgen-regulated mucin-like protein 1"
"ENSG00000179348.12","ENSG00000179348.12",0.569953446234468,1.76818473386014,0.012818990201181,"258","139","0.565551766651041",0.594532647584973,0.0314388906172357,"ENSG00000179348","GATA2","GATA binding protein 2"
"ENSG00000179403.12","ENSG00000179403.12",-1.09868927246396,0.333307673055777,0.00352373039733007,"22","375","3.00023096027753",0.530635062611807,0.019000054209439,"ENSG00000179403","VWA1","von Willebrand factor A domain containing 1"
"ENSG00000013306.16","ENSG00000013306.16",0.983631481423475,2.67414975553004,0.00869580002076863,"378","19","0.373950635312042",0.535470706618962,0.0181181663009894,"ENSG00000013306","SLC25A39","solute carrier family 25 member 39"
"ENSG00000151498.12","ENSG00000151498.12",-0.694487714203583,0.499330182235112,0.00482795508554925,"216","181","2.00268286512099",0.59265988372093,0.0286011146701157,"ENSG00000151498","ACAD8","acyl-CoA dehydrogenase family member 8"
"ENSG00000004799.8","ENSG00000004799.8",-0.782104060521191,0.457442511300777,0.000618849848560182,"122","275","2.18606704732451",0.604427549194991,0.0313651660872821,"ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4"
"ENSG00000135929.9","ENSG00000135929.9",-1.30982660824338,0.2698668450145,0.00102192049371741,"13","384","3.70553114794916",0.527923747763864,0.0152692587655015,"ENSG00000135929","CYP27A1","cytochrome P450 family 27 subfamily A member 1"
"ENSG00000169750.9","ENSG00000169750.9",0.668474885460528,1.95125915648264,0.00826047989599656,"324","73","0.512489587391666",0.540641771019678,0.0254381541448437,"ENSG00000169750","RAC3","Rac family small GTPase 3"
