"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000165288.11","ENSG00000165288.11",2.96995138312936,19.4909719829329,0.00860920594539244,"392","5","0.051305804598952",0.6125,0.0982164792627769,"ENSG00000165288","BRWD3","bromodomain and WD repeat domain containing 3"
"ENSG00000229751.1","ENSG00000229751.1",-1.60112981144555,0.201668541807111,0.0172225093973918,"75","322","4.95863157951757",0.705448717948718,0.0984557505285583,"ENSG00000229751",NA,NA
"ENSG00000259985.1","ENSG00000259985.1",2.90084641373194,18.1895347276132,0.0082705050948646,"394","3","0.0549766673515797",0.532692307692308,0.0367753928483839,"ENSG00000259985",NA,NA
"ENSG00000224961.3","ENSG00000224961.3",-1.45868838185401,0.232541079892144,0.0309171950349771,"76","321","4.30031545593499",0.613782051282051,0.103490037240403,"ENSG00000224961",NA,NA
"ENSG00000160200.18","ENSG00000160200.18",2.38364850169062,10.844396572919,0.030498081505259,"387","10","0.0922135218198524",0.608974358974359,0.0977423074142984,"ENSG00000160200","CBS","cystathionine beta-synthase"
"ENSG00000235579.1","ENSG00000235579.1",1.49779676428187,4.47182572253076,0.0353078067832828,"261","136","0.223622310449537",0.726923076923077,0.0781803544914587,"ENSG00000235579",NA,NA
"ENSG00000047365.12","ENSG00000047365.12",2.19207336403553,8.9537582830195,0.0426473356233404,"390","7","0.111684944845615",0.580128205128205,0.0797814488613344,"ENSG00000047365","ARAP2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"ENSG00000140525.19","ENSG00000140525.19",3.41500586246756,30.4171277464673,0.00227057419788106,"394","3","0.0328762139652105",0.61474358974359,0.0982742054644451,"ENSG00000140525","FANCI","FA complementation group I"
"ENSG00000241388.5","ENSG00000241388.5",2.26482877389386,9.62947564232351,0.00507982703161809,"300","97","0.103847814475463",0.779487179487179,0.0782792439873534,"ENSG00000241388","HNF1A-AS1","HNF1A antisense RNA 1"
"ENSG00000160352.16","ENSG00000160352.16",1.7708841683821,5.87604647975789,0.0278056853098558,"249","148","0.170182452341868",0.631410256410256,0.0980864583959319,"ENSG00000160352","ZNF714","zinc finger protein 714"
"ENSG00000234290.2","ENSG00000234290.2",1.79682336720911,6.03046044709305,0.0112893321343984,"296","101","0.165824816989231",0.76025641025641,0.0785120731073117,"ENSG00000234290",NA,NA
"ENSG00000172824.16","ENSG00000172824.16",-1.97400470556008,0.138899489357556,0.0197612889558015,"23","374","7.19945051364293",0.665384615384615,0.102549966488569,"ENSG00000172824","CES4A","carboxylesterase 4A"
"ENSG00000185518.12","ENSG00000185518.12",-1.50053883821518,0.22300996147791,0.0412154604662078,"39","358","4.48410462641623",0.584935897435897,0.084995635310132,"ENSG00000185518","SV2B","synaptic vesicle glycoprotein 2B"
"ENSG00000139537.11","ENSG00000139537.11",1.9913012531972,7.32505932024426,0.003217641127863,"362","35","0.136517665766378",0.694551282051282,0.101176243632802,"ENSG00000139537","DRC2","dynein regulatory complex subunit 2"
"ENSG00000153933.10","ENSG00000153933.10",3.20420457895243,24.6358963104386,0.00365472706316886,"394","3","0.0405911758760036",0.615384615384615,0.0980244012863737,"ENSG00000153933","DGKE","diacylglycerol kinase epsilon"
"ENSG00000241158.7","ENSG00000241158.7",-1.6513775360594,0.191785535080273,0.0140350103015018,"52","345","5.21415757231871",0.638782051282051,0.10226388746326,"ENSG00000241158","ADAMTS9-AS1","ADAMTS9 antisense RNA 1"
"ENSG00000169218.14","ENSG00000169218.14",-4.05046994630515,0.017414188982465,0.000298769712958059,"2","395","57.4244371074036",0.616346153846154,0.0981766316948147,"ENSG00000169218","RSPO1","R-spondin 1"
"ENSG00000201264.1","ENSG00000201264.1",1.63089059575042,5.1084222323694,0.0437918512368437,"248","149","0.195755157759577",0.710897435897436,0.0780329571329098,"ENSG00000201264","SNORD73B","small nucleolar RNA, C/D box U73B"
"ENSG00000168301.13","ENSG00000168301.13",3.65766758663464,38.7708077794963,2.64843280687246e-05,"390","7","0.0257926016318093",0.65,0.0980362639870663,"ENSG00000168301","KCTD6","potassium channel tetramerization domain containing 6"
"ENSG00000254428.1","ENSG00000254428.1",1.46752706937509,4.33849307195762,0.0325503539403983,"324","73","0.230494778581905",0.639423076923077,0.101208288268994,"ENSG00000254428",NA,NA
"ENSG00000176463.14","ENSG00000176463.14",-1.38981538936039,0.249121290827608,0.0395187743361836,"97","300","4.01410893736899",0.632051282051282,0.0980123131106389,"ENSG00000176463","SLCO3A1","solute carrier organic anion transporter family member 3A1"
"ENSG00000118242.16","ENSG00000118242.16",2.75399319807386,15.7052208936858,0.000166526667796752,"378","19","0.0636730936017616",0.713141025641026,0.100829273891751,"ENSG00000118242","MREG","melanoregulin"
"ENSG00000254419.1","ENSG00000254419.1",1.7383030296625,5.68768339858651,0.0324321074498426,"255","142","0.175818506397265",0.742307692307692,0.0707930940219647,"ENSG00000254419",NA,NA
"ENSG00000198774.5","ENSG00000198774.5",-3.94962011075385,0.0192620178190843,0.000458744932522176,"4","393","51.9156408945498",0.616025641025641,0.0979090680278549,"ENSG00000198774","RASSF9","Ras association domain family member 9"
